customer_id,gender,location,age,monthly_income,monthly_emi_outflow,total_credit_limit,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,months_since_last_default,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,target_credit_score_movement
1,male,Noida,28,29464,3160,80000,12955,0.14,3,59,31,17,3,29882.13,97194,Stable
2,female,Raebareli,26,43560,33431,130000,69870,0.76,2,43,29,0,6,75670.64,6799,Decrease
3,male,Shimla,25,28564,19916,90000,21907,0.6,3,50,0,0,4,41283.37,135404,Stable
4,male,Haldwani,24,36844,27352,80000,330412,0.34,3,55,0,0,4,26126.75,96988,Stable
5,male,Port Blair,24,21061,18494,50000,223592,0.79,3,89,0,81,0,7798.58,241208,Decrease
6,female,Surat,22,37877,22598,90000,385973,0.81,0,69,0,0,3,35732.11,53970,Stable
7,male,Surat,36,52171,3020,120000,30441,0.17,2,79,0,28,1,35357.72,480678,Stable
8,male,Shillong,33,53933,28898,120000,695863,0.11,3,54,27,0,3,44583.37,210968,Stable
9,male,Indore,30,40004,15004,90000,76370,0.17,3,79,0,0,1,21292.14,274756,Stable
10,female,Ahmedabad,27,21321,11647,50000,222341,0.42,2,47,9,0,6,37190.56,37953,Stable
11,male,Mysore,32,77798,6168,230000,142419,0.33,3,79,0,0,1,59736.53,467369,Stable
12,male,Patiala,25,25194,7236,60000,109263,0.73,0,48,0,0,7,33202.31,34937,Stable
13,male,Pune,26,49901,33684,130000,306524,0.41,3,61,1,0,2,43961.56,164709,Stable
14,male,Panipat,26,32278,18457,80000,38390,0.32,0,51,0,20,2,38826.79,90600,Stable
15,female,Muzzafarnagar,52,155775,119267,450000,2275614,0.18,0,77,0,0,1,44602.11,765150,Increase
16,male,Kochi,68,246555,153227,550000,2773408,0.06,0,87,0,0,0,21127.18,775509,Increase
17,female,Daman,29,47957,18830,100000,434596,0.01,1,41,0,27,7,62256.11,17824,Stable
18,female,Gangtok,38,58060,29127,140000,119129,0.1,3,75,0,0,2,22744.74,626057,Stable
19,female,Mysore,21,23697,20891,60000,147908,0.19,3,75,0,0,1,18242.86,148444,Stable
20,male,Nellore,26,29319,1790,60000,23431,0.44,3,69,0,0,3,25735.07,119459,Stable
21,female,Kolhapur,22,31418,18187,80000,110576,0.33,1,31,1,19,6,40336.06,13518,Stable
22,male,Daman,62,246537,148551,560000,3280006,0.15,0,74,0,0,1,61581.22,566337,Stable
23,female,Raebareli,23,39245,2925,80000,3217,0.04,2,38,0,89,5,55158.45,49625,Decrease
24,female,Baroda,50,122035,7020,360000,147981,0.07,1,72,0,0,1,59548.97,572335,Increase
25,female,Gandhinagar,44,142330,33147,290000,69608,0.24,0,81,0,15,1,43302.16,533303,Stable
26,female,Tirunelveli,51,175429,51078,360000,618043,0.01,1,64,0,0,2,106814.88,495711,Stable
27,female,Ahmedabad,52,165788,90299,490000,1542306,0.39,0,58,0,25,1,136916.39,334934,Stable
28,female,Gurugram,30,38719,31407,90000,159547,0.99,3,62,0,0,2,36004.95,111828,Stable
29,female,Firozabad,24,27455,8431,70000,51344,0.77,3,41,0,0,4,35279.15,153,Stable
30,female,Raigarh,35,89542,24561,200000,125015,0.06,0,40,0,0,5,97999.58,50443,Increase
31,male,Mysore,24,40656,35378,100000,391988,0.42,2,57,0,79,4,36725.11,163881,Stable
32,male,Bhopal,32,94005,80076,190000,1528650,0.2,2,71,0,0,2,47654.35,357523,Stable
33,female,Bilaspur,34,99454,60318,200000,65746,0.89,1,79,35,0,2,43563.55,222833,Stable
34,female,Dispur,59,177687,15082,530000,303148,0.16,1,89,0,0,1,61462.91,812167,Increase
35,female,Aurangabad,62,214340,19455,470000,332291,0.04,1,73,11,0,1,32940.41,441487,Increase
36,male,Gangtok,42,103175,11511,250000,35684,0.81,2,81,0,0,2,45126.17,547429,Stable
37,female,Agra,30,35861,29810,90000,211352,0.85,3,84,0,18,2,19309.03,127639,Stable
38,male,Bhubaneswar,56,175352,12256,440000,184820,0.26,1,71,0,0,1,46033.09,727428,Stable
39,male,Raebareli,21,49126,7146,120000,86395,0.39,2,86,5,61,1,23514.11,271932,Stable
40,male,Aizawl,35,60897,43096,120000,865798,0.26,1,58,0,0,2,39070.86,251768,Stable
41,male,Rajkot,25,21965,0,50000,0,0.07,2,57,0,69,3,15396.9,147061,Stable
42,male,Hoshiarpur,38,78391,51426,230000,261758,0.41,2,69,0,0,2,97410.93,319375,Stable
43,female,Kolhapur,24,47648,41111,130000,167732,0.82,2,70,0,19,2,26497.1,134522,Stable
44,female,Meerut,29,33552,15326,90000,323072,0.19,3,74,0,16,1,18100.9,125312,Stable
45,female,Gaya,30,23449,19110,70000,97461,0.21,3,73,0,0,2,16699.5,268296,Stable
46,female,Moradabad,21,43685,38350,100000,463651,0.07,3,67,0,0,3,47466.01,199858,Stable
47,female,Bhubaneswar,66,203789,140389,610000,996761,0.03,1,88,0,0,1,19123.83,743737,Increase
48,male,Coimbatore,29,20727,6265,60000,50621,0.02,0,76,3,0,1,17945.04,205416,Stable
49,female,Dharwad,31,52553,32837,130000,396670,0.3,2,57,0,0,3,35756.85,131346,Stable
50,female,Agra,62,201744,151401,560000,1831952,0.39,1,74,0,0,0,60040.97,420215,Stable
51,male,Jalna,23,39024,14911,80000,75896,0.04,1,70,5,0,2,23889.0,113583,Stable
52,female,Lucknow,22,42763,39927,130000,362936,0.81,3,44,0,19,7,84817.43,45481,Decrease
53,male,Rishikesh,27,33844,18434,80000,204617,0.76,1,38,29,25,4,42563.84,25436,Stable
54,female,Kottayam,24,23439,10635,70000,128470,0.23,3,50,0,0,4,31663.41,135219,Stable
55,male,Gurgaon,65,231522,41390,560000,541381,0.35,0,87,0,0,1,22981.3,885628,Increase
56,female,Tirupati,26,21209,16145,60000,243789,0.07,0,71,0,16,2,15215.52,102759,Stable
57,female,Panipat,29,26009,8119,60000,171229,0.2,1,41,28,25,4,38487.12,39942,Stable
58,male,Howrah,39,84529,0,180000,0,0.07,3,85,0,61,1,24977.26,1135087,Increase
59,male,Solapur,22,42732,29858,100000,122119,0.24,3,32,0,26,6,77754.88,45859,Decrease
60,male,Chandrapur,22,42669,17483,100000,124129,0.94,3,32,0,0,7,68442.03,2293,Decrease
61,male,Chandigarh,59,188467,21737,400000,328011,0.27,0,82,0,0,0,55048.84,993207,Increase
62,male,Bhopal,30,40861,22002,80000,199778,0.81,2,81,0,25,1,20436.77,274301,Stable
63,male,Gurugram,45,134775,113232,370000,2613394,0.46,3,70,0,0,1,38368.72,912679,Stable
64,male,Thane,25,30373,22428,70000,91730,0.07,1,51,5,0,3,34390.48,99472,Stable
65,male,Indore,31,64739,7856,190000,149971,0.13,1,66,10,0,2,77046.96,355985,Stable
66,female,Nagpur,21,22911,5607,60000,34090,0.12,0,63,0,71,4,27679.24,156842,Stable
67,female,Port Blair,25,47880,15041,120000,31285,0.27,1,74,6,0,1,36541.9,225536,Stable
68,male,Bangalore,59,184829,76470,420000,1231167,0.12,0,63,25,0,2,89578.08,157425,Increase
